dist_img,ref_img,dmos,var,quality
I10_01_04.png,I10.png,1.67,0.789,low
I08_04_04.png,I08.png,1.67,0.699,low
I11_02_04.png,I11.png,1.4,0.554,low
I20_13_04.png,I20.png,2.27,0.629,low
I48_23_04.png,I48.png,2.1,0.79,low
I02_08_04.png,I02.png,1.97,0.912,low
I02_01_05.png,I02.png,1.27,0.512,low
I40_19_05.png,I40.png,1.2,0.4,low
I77_02_03.png,I77.png,1.87,0.618,low
I18_12_05.png,I18.png,2.03,0.795,low
I76_24_02.png,I76.png,2.3,0.936,low
I44_03_05.png,I44.png,1.57,0.667,low
I41_16_04.png,I41.png,2.3,0.823,low
I27_21_05.png,I27.png,1.17,0.373,low
I29_03_05.png,I29.png,2.03,0.657,low
I73_10_05.png,I73.png,1.27,0.442,low
I44_15_03.png,I44.png,2.23,0.716,low
I74_04_04.png,I74.png,2.13,0.763,low
I41_02_05.png,I41.png,1.37,0.482,low
I05_03_05.png,I05.png,1.53,0.562,low
I79_01_05.png,I79.png,1.53,0.499,low
I18_07_02.png,I18.png,2.13,0.884,low
I56_16_05.png,I56.png,1.97,0.983,low
I39_21_03.png,I39.png,2.17,0.934,low
I21_04_04.png,I21.png,1.67,0.978,low
I66_10_04.png,I66.png,2.1,0.907,low
I75_14_05.png,I75.png,2.0,0.632,low
I50_07_03.png,I50.png,1.93,0.929,low
I33_14_03.png,I33.png,2.07,0.727,low
I61_02_04.png,I61.png,1.27,0.442,low
I04_14_03.png,I04.png,2.83,0.86,medium
I44_07_01.png,I44.png,2.57,1.055,medium
I60_13_04.png,I60.png,2.57,0.92,medium
I49_08_04.png,I49.png,2.5,0.957,medium
I32_16_03.png,I32.png,3.1,0.907,medium
I48_13_03.png,I48.png,2.47,0.618,medium
I44_13_04.png,I44.png,2.47,0.67,medium
I09_02_01.png,I09.png,3.1,0.79,medium
I65_13_01.png,I65.png,3.33,0.869,medium
I56_25_04.png,I56.png,3.7,0.781,medium
I05_13_02.png,I05.png,2.63,0.983,medium
I81_13_01.png,I81.png,2.8,0.909,medium
I01_25_05.png,I01.png,3.27,0.854,medium
I24_25_05.png,I24.png,3.53,0.806,medium
I19_25_05.png,I19.png,3.53,0.991,medium
I06_11_04.png,I06.png,2.83,0.934,medium
I32_05_02.png,I32.png,2.6,0.757,medium
I61_22_05.png,I61.png,2.7,0.737,medium
I23_08_02.png,I23.png,3.57,0.989,medium
I37_11_01.png,I37.png,3.07,0.892,medium
I53_21_03.png,I53.png,2.93,0.892,medium
I57_16_03.png,I57.png,3.0,0.856,medium
I02_14_02.png,I02.png,3.37,0.836,medium
I75_07_01.png,I75.png,2.63,1.016,medium
I04_21_04.png,I04.png,2.93,0.854,medium
I79_05_04.png,I79.png,2.63,1.016,medium
I73_03_03.png,I73.png,3.37,1.016,medium
I71_12_02.png,I71.png,3.3,0.862,medium
I62_12_04.png,I62.png,2.83,0.778,medium
I10_25_02.png,I10.png,3.6,0.879,medium
I45_10_01.png,I45.png,4.1,0.7,high
I64_18_01.png,I64.png,4.3,0.586,high
I39_10_02.png,I39.png,4.53,0.562,high
I31_14_02.png,I31.png,3.93,0.929,high
I73_10_02.png,I73.png,4.07,0.727,high
I21_06_02.png,I21.png,4.23,0.667,high
I57_20_01.png,I57.png,4.33,0.699,high
I70_08_02.png,I70.png,3.8,0.542,high
I48_14_01.png,I48.png,4.5,0.619,high
I16_18_05.png,I16.png,3.93,0.727,high
I78_03_01.png,I78.png,4.67,0.471,high
I65_09_01.png,I65.png,4.5,0.563,high
I80_18_02.png,I80.png,4.6,0.554,high
I52_06_01.png,I52.png,4.23,0.667,high
I69_20_04.png,I69.png,3.8,1.249,high
I26_05_01.png,I26.png,4.43,0.761,high
I40_16_02.png,I40.png,4.0,0.683,high
I05_20_02.png,I05.png,4.53,0.562,high
I57_01_01.png,I57.png,4.43,0.559,high
I08_18_01.png,I08.png,4.4,0.611,high
I27_17_04.png,I27.png,3.8,0.476,high
I13_17_03.png,I13.png,4.37,0.657,high
I81_18_03.png,I81.png,4.73,0.442,high
I16_16_01.png,I16.png,4.37,0.706,high
I05_01_02.png,I05.png,4.47,0.562,high
I04_04_01.png,I04.png,4.33,0.745,high
I60_25_03.png,I60.png,4.43,0.496,high
I41_22_04.png,I41.png,4.07,0.892,high
I15_19_02.png,I15.png,4.07,0.442,high
I26_04_01.png,I26.png,4.8,0.6,high
